freq                    	Gain_Gc2vo              	Phase_Gc2vo             
10                       	-118.4172312151957697779 	179.99426311515151155618 
10.115794542598985472637 	-118.4172311833570603312 	179.99419668603133004581 
10.232929922807540989993 	-118.4172311507766295335 	179.99412948653139210364 
10.351421666793438447485 	-118.4172311174373390941 	179.99406150963815775867 
10.471285480508996101889 	-118.4172310833214538661 	179.99399274552649785619 
10.592537251772888851065 	-118.4172310484109686968 	179.99392318549669766981 
10.715193052376063675979 	-118.4172310126872389446 	179.99385281948485726389 
10.839269140212035580362 	-118.4172309761313783838 	179.99378163918518680475 
10.964781961431850021427 	-118.4172309387240886736 	179.99370963420960833901 
11.091748152624010259615 	-118.4172309004454177739 	179.99363679511415625711 
11.220184543019634304528 	-118.4172308612752289037 	179.99356311349913539743 
11.350108156723150543144 	-118.4172308211925184196 	179.99348857765329512404 
11.481536214968828701899 	-118.4172307801762116242 	179.99341318061235028836 
11.614486138403428583388 	-118.4172307382045374879 	179.99333690747624814321 
11.748975549395295203681 	-118.4172306952551991799 	179.99325975383186460022 
11.885022274370184547365 	-118.4172306513054451216 	179.99318170571777386613 
12.022644346174129026394 	-118.4172306063319695113 	179.9931027539223293843  
12.161860006463680150546 	-118.4172305603109265348 	179.99302288763476553868 
12.302687708123816179295 	-118.4172305132179445764 	179.99294209699309021744 
12.445146117713850486552 	-118.4172304650279414773 	179.99286037061352772071 
12.589254117941672816983 	-118.4172304157154940185 	179.99277769789711101112 
12.735030810166616532797 	-118.4172303652544258057 	179.99269406779313840161 
12.882495516931340873157 	-118.4172303136179351668 	179.99260946939747896067 
13.031667784522992903362 	-118.4172302607787514717 	179.99252389166386478792 
13.182567385564070150394 	-118.4172302067087230171 	179.99243732286137742449 
13.3352143216332397202   	-118.4172301513792149308 	179.99234975125671098795 
13.489628825916534893281 	-118.4172300947609812738 	179.99226116614829606988 
13.645831365889245390122 	-118.417230036823909245  	179.99217155479863095024 
13.803842646028849472373 	-118.4172299775372891872 	179.99208090571229945454 
13.963683610559376901961 	-118.4172299168697151117 	179.99198920723426908808 
14.125375446227543818623 	-118.417229854789042065  	179.99189644685463917995 
14.288939585111029018094 	-118.4172297912622582317 	179.99180261257723145718 
14.454397707459275324027 	-118.4172297262558402053 	179.99170769117966983686 
14.621771744567181983143 	-118.4172296597351561331 	179.99161167143356010456 
14.791083881682073553065 	-118.4172295916650625713 	179.99151453950548784633 
14.962356560944334304963 	-118.417229522009364473  	179.99141628246599111662 
15.135612484362081175959 	-118.4172294507312130918 	179.99131688772533266274 
15.310874616820303373288 	-118.4172293777927222891 	179.9912163422092703513  
15.488166189124811467082 	-118.4172293031553522269 	179.99111463300297941714 
15.66751070108148979898  	-118.4172292267793693554 	179.9910117453544557975  
15.848931924611136423664 	-118.417229148624443269  	179.99090766660452800352 
16.032453906900414608572 	-118.4172290686490072176 	179.99080238256203756464 
16.218100973589301361244 	-118.4172289868106702215 	179.99069587951902349232 
16.405897731995395361082 	-118.4172289030661175957 	179.99058814292678221136 
16.595869074375606544436 	-118.4172288173708977865 	179.99047915885816451009 
16.78804018122560393067  	-118.4172287296795786915 	179.99036891304439222949 
16.982436524617444462137 	-118.4172286399456908157 	179.9902573903582094772  
17.17908387157588023797  	-118.4172285481215851632 	179.99014457658950050245 
17.378008287493752703767 	-118.4172284541586179785 	179.9900304564971520449  
17.579236139586924991818 	-118.4172283580070654807 	179.98991501419726546374 
17.782794100389228475478 	-118.4172282596156975387 	179.98979823633428054563 
17.988709151287878285075 	-118.4172281589326161111 	179.98968010558581909208 
18.197008586099833848948 	-118.417228055904303119  	179.9895606067745461587  
18.407720014689559207    	-118.4172279504761320368 	179.98943972446514294461 
18.620871366628676923938 	-118.4172278425922542056 	179.98931744264285725876 
18.836490894898005876712 	-118.4172277321954140916 	179.98919374442721164087 
19.054607179632473190622 	-118.4172276192270487627 	179.98906861442210924906 
19.275249131909358624171 	-118.417227503627373153  	179.98894203462972996022 
19.498445997580450494979 	-118.4172273853350532136 	179.98881398974543799341 
19.72422736114853591971  	-118.4172272642873053883 	179.9886844618699512921  
19.95262314968879380217  	-118.4172271404199960898 	179.98855343426075137359 
20.183663636815609265796 	-118.4172270136674853802 	179.98842088972605779418 
20.417379446695292699587 	-118.4172268839624564407 	179.98828680989248596234 
20.653801558105296720669 	-118.417226751236270843  	179.98815117784820927227 
20.892961308540396458966 	-118.4172266154184569587 	179.98801397519770262079 
21.134890398366469099756 	-118.4172264764370652301 	179.98787518344286695537 
21.379620895022320326007 	-118.4172263342183697432 	179.9877347847609883047  
21.627185237270204254401 	-118.4172261886869392811 	179.98759276010906660304 
21.877616239495523586811 	-118.4172260397656515352 	179.98744909171125527791 
22.130947096056377887408 	-118.4172258873755652075 	179.98730375915769741368 
22.387211385683393416457 	-118.4172257314358631675 	179.98715674358336968908 
22.646443075930594801548 	-118.4172255718638382405 	179.98700802535822163009 
22.908676527677730661026 	-118.4172254085748647867 	179.98685758581649452026 
23.173946499684781485939 	-118.4172252414824413336 	179.98670540379453086643 
23.442288153199221767409 	-118.4172250704979205693 	179.98655145960341883438 
23.713737056616551512889 	-118.4172248955306514517 	179.98639573307076489073 
23.988329190194903617339 	-118.4172247164879365755 	179.98623820322137589756 
24.266100950824153414942 	-118.4172245332747195334 	179.98607884917063870489 
24.547089156850304902946 	-118.4172243457938833444 	179.9859176494171322247  
24.83133105295570430826  	-118.4172241539461225557 	179.9857545840361296996  
25.118864315095802197675 	-118.4172239576295879715 	179.9855896297551112184  
